algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.018340033000000002,1.4915526950925182,20.931034088134766,5915,33,6966,Continuous,,,0,89,6966,11,origA1,45,1854,505,89,2,32.97328,SatDddSclTotalizer,0.01331067,ok,0.031649935,29,25,49,6966
0.531459841,2.5086614173228345,18.176469802856445,1632,33,7417,Continuous,,,1,104,7417,12,origA10,96,1593,795,104,2,827.300996,SatDddSclTotalizer,0.287935412,ok,0.819394355,17,43,49,7417
0.433938368,1.7991803278688525,19.83333396911621,6162,33,4925,Continuous,,,2,64,4925,17,origA11,120,2195,691,64,1,456.929728,SatDddSclTotalizer,0.018968398,ok,0.45290534,30,37,14,4925
1.2206515470000001,2.354501607717042,21.714284896850586,6393,33,8955,Continuous,,,3,109,8955,21,origA12,236,2929,1256,109,1,5555.139019,SatDddSclTotalizer,0.888953472,ok,2.109604171,28,66,29,8955
1.1609490900000003,2.595897435897436,19.0,3735,33,9021,Continuous,,,4,113,9021,25,origA2,230,2531,1177,113,1,2138.793841,SatDddSclTotalizer,0.948688044,ok,2.109636104,25,78,29,9021
0.021764495,1.8729508196721312,22.375,2061,33,2789,Continuous,,,5,109,2789,12,origA3,63,1371,531,109,1,52.035512,SatDddSclTotalizer,0.02796575,ok,0.04972903,16,31,66,2789
0.021999542000000004,2.0072463768115942,19.214284896850586,1175,33,3006,Continuous,,,6,97,3006,7,origA4,28,1108,480,97,1,63.113441,SatDddSclTotalizer,0.038816736,ok,0.060815387,14,18,67,3006
0.016827533,1.919831223628692,19.25,876,33,3394,Continuous,,,7,66,3394,8,origA5,33,910,362,66,1,31.281184,SatDddSclTotalizer,0.012753785,ok,0.029580677,12,20,34,3394
0.00582648,1.8888888888888888,18.625,307,33,2154,Continuous,,,8,78,2154,5,origA6,12,578,240,78,1,12.84989,SatDddSclTotalizer,0.006436113,ok,0.012261981,8,8,58,2154
0.011236899000000002,3.914285714285714,12.625,126,33,2128,Continuous,,,9,119,2128,13,origA7,38,822,516,119,1,33.465622,SatDddSclTotalizer,0.021234254,ok,0.032470521,8,26,81,2128
6.423294268,3.61231884057971,19.214284896850586,4877,33,28151,Continuous,,,10,70,28151,25,origA8,430,3988,2023,70,1,10549.838211,SatDddSclTotalizer,4.043134077,ok,10.466427161,28,55,0,28151
0.357022113,2.1447688564476888,20.049999237060547,2616,33,8618,Continuous,,,11,96,8618,13,origA9,83,1763,756,95,1,417.580818,SatDddSclTotalizer,0.056883232,ok,0.413904519,20,44,37,8618
0.06007391300000001,2.351181102362205,18.176469802856445,1632,33,6100,Continuous,,,12,60,6100,11,origA10,79,1493,696,60,1,105.994023,SatDddSclTotalizer,0.041417994,ok,0.101491081,17,37,10,6100
0.523004655,1.6795081967213115,19.83333396911621,6162,33,5090,Continuous,,,13,59,5090,11,origA11,85,2049,639,59,1,607.784903,SatDddSclTotalizer,0.0793107,ok,0.602314294,30,28,28,5090
4.943028963,1.9180064308681672,21.714284896850586,6393,33,9333,Continuous,,,14,62,9333,12,origA12,96,2386,900,62,2,5463.416289,SatDddSclTotalizer,0.496481383,ok,5.439509193,28,36,22,9333
0.002731717,1.1853582554517135,17.33333396911621,2022,25,1024,Continuous,,,15,41,1024,4,origB1,10,761,101,40,4,5.418329,SatDddSclTotalizer,0.002445091,ok,0.005176235,18,5,30,1024
0.07686325699999996,5.7631578947368425,11.375,130,25,6739,Continuous,,,16,102,6739,17,origB10,67,1095,757,102,1,360.278385,SatDddSclTotalizer,0.275512444,ok,0.352374842,8,43,53,6739
9.218930831,3.217610062893082,15.399999618530273,3202,25,77865,Continuous,,,17,87,77865,32,origB11,373,2558,969,87,2,10353.752084,SatDddSclTotalizer,1.089871616,ok,10.308801702,25,45,35,77865
0.0020562240000000006,1.5341880341880343,16.214284896850586,970,25,918,Continuous,,,18,92,918,6,origB12,18,718,212,92,1,7.351605,SatDddSclTotalizer,0.005233824,ok,0.007289392,14,14,66,918
0.0020464330000000003,1.4183006535947713,14.800000190734863,87,25,347,Continuous,,,19,55,347,3,origB2,2,217,58,55,1,5.572819,SatDddSclTotalizer,0.003255514,ok,0.005301157,5,1,45,347
0.0024174250000000004,1.9942196531791907,16.799999237060547,136,20,629,Continuous,,,20,44,629,6,origB3,10,345,142,44,1,5.602363,SatDddSclTotalizer,0.002954515,ok,0.005371261,5,5,33,629
0.44406089000000004,2.384498480243161,15.949999809265137,2246,25,53947,Continuous,,,21,102,53947,25,origB4,226,1569,565,102,1,5341.343236,SatDddSclTotalizer,1.386945112,ok,1.8310050900000001,20,63,24,53947
0.0022906489999999996,1.289617486338798,17.799999237060547,136,25,288,Continuous,,,22,47,288,3,origB5,2,236,47,47,1,5.564814,SatDddSclTotalizer,0.003013806,ok,0.005303708,5,1,37,288
0.0017094569999999997,1.3375796178343948,15.199999809265137,93,25,176,Continuous,,,23,39,176,3,origB6,2,210,47,39,1,4.041091,SatDddSclTotalizer,0.00212638,ok,0.003835079,5,1,37,176
9.691360059,4.427248677248677,15.25,2865,25,67767,Continuous,,,24,83,67767,35,origB7,847,3347,1267,83,1,17348.345645,SatDddSclTotalizer,7.400362536,ok,17.091721218,24,67,0,67767
0.002261547,1.2949640287769784,13.399999618530273,72,25,676,Continuous,,,25,48,676,2,origB8,1,180,37,48,1,4.977982,SatDddSclTotalizer,0.002475789,ok,0.004736615,5,0,37,676
0.004042225,2.817258883248731,13.571428298950195,150,25,6031,Continuous,,,26,53,6031,10,origB9,30,555,276,53,1,8.004281,SatDddSclTotalizer,0.003675034,ok,0.007716053,7,16,26,6031
0.013979115,3.0,11.375,130,25,7400,Continuous,,,27,47,7400,9,origB10,38,570,298,47,1,23.499352,SatDddSclTotalizer,0.008354587,ok,0.022333077,8,21,13,7400
15.874051796000002,4.220125786163522,15.399999618530273,3202,25,77348,Continuous,,,28,91,77348,66,origB11,929,3355,1161,91,1,35393.714747,SatDddSclTotalizer,15.654468425,ok,31.528519081,25,77,0,77348
0.003513062000000001,1.5320512820512822,16.214284896850586,970,25,918,Continuous,,,29,91,918,6,origB12,18,717,211,91,1,8.659167,SatDddSclTotalizer,0.004900956,ok,0.008413164,14,14,65,918
,,,,,,cont,124,external_timeout,30,,,,trackA1,,,,,,345432,sat_ddd_scl_totalizer,,external_timeout,345.432,,,,
2.4723934239999608,7.530256410256411,19.0,3735,33,,Continuous,,,31,98,11245,40,trackA2,1067,7342,4399,97,1,308339.850852,SatDddSclTotalizer,305.86745875,timeout,308.339850852,25,93,0,12124
0.2876151079999971,7.969945355191257,22.375,2061,33,5687,Continuous,,,32,167,5687,38,trackA3,675,5834,3975,167,1,51974.352033,SatDddSclTotalizer,45.112763702,ok,45.40037777,16,149,6,5687
0.03754349000000001,3.402173913043478,19.214284896850586,1175,33,3069,Continuous,,,33,96,3069,14,trackA4,131,1878,1060,96,1,152.820233,SatDddSclTotalizer,0.110484427,ok,0.148026779,14,56,30,3069
0.06205322399999996,2.9852320675105486,19.25,876,33,2994,Continuous,,,34,114,2994,20,trackA5,128,1415,695,114,1,329.531393,SatDddSclTotalizer,0.260854905,ok,0.32290733,12,57,46,2994
0.010248877,2.6666666666666665,18.625,307,33,1760,Continuous,,,35,76,1760,12,trackA6,30,816,422,76,1,23.865941,SatDddSclTotalizer,0.012565783,ok,0.022813698,8,19,55,1760
0.006562814,2.7523809523809524,12.625,126,33,1393,Continuous,,,36,86,1393,7,trackA7,23,578,297,86,1,18.712256,SatDddSclTotalizer,0.011609206,ok,0.018171279,8,12,72,1393
,,,,,,cont,124,external_timeout,37,,,,trackA8,,,,,,340478,sat_ddd_scl_totalizer,,external_timeout,340.478,,,,
0.9709893950000001,5.200729927007299,20.049999237060547,2616,33,10472,Continuous,,,38,83,10472,26,trackA9,480,4275,2453,83,1,9598.214659,SatDddSclTotalizer,5.14167494,ok,6.112663009,20,67,3,10472
0.6261784479999999,3.64251968503937,18.176469802856445,1632,33,7589,Continuous,,,39,75,7589,21,trackA10,268,2313,1180,75,1,1925.528331,SatDddSclTotalizer,1.266381878,ok,1.8925589870000001,17,61,1,7589
,,,,,,cont,124,external_timeout,40,,,,trackA11,,,,,,341616,sat_ddd_scl_totalizer,,external_timeout,341.616,,,,
,,,,,,cont,101,panic,41,,,,trackA12,,,,,,65215,sat_ddd_scl_totalizer,,panic,65.215,,,,
0.045719159999999995,2.367601246105919,17.33333396911621,2022,25,5494,Continuous,,,42,82,5494,7,trackB1,83,1520,692,82,1,144.498551,SatDddSclTotalizer,0.093970232,ok,0.139688548,18,34,38,5494
0.0021509589999999996,1.6898395721925135,12.857142448425293,126,25,6912,Continuous,,,43,46,6912,4,trackB10,8,316,99,46,1,5.833418,SatDddSclTotalizer,0.003521511,ok,0.005671844,7,3,33,6912
8.955927268,4.111949685534591,15.399999618530273,3202,25,76123,Continuous,,,44,70,76123,18,trackB11,356,3269,1736,70,1,30838.225241,SatDddSclTotalizer,18.028753229,ok,26.984679106,25,54,0,76123
2.473033331,2.1452991452991452,16.214284896850586,970,25,34640,Continuous,,,45,31,34640,14,trackB12,96,1004,296,31,1,3128.762815,SatDddSclTotalizer,0.621246265,ok,3.094278622,14,15,0,34640
0.195892354,3.6405228758169934,14.800000190734863,87,25,11728,Continuous,,,46,83,11728,21,trackB2,105,557,270,83,2,649.359248,SatDddSclTotalizer,0.433906611,ok,0.629798154,5,64,4,11728
0.0032790300000000005,3.653179190751445,16.799999237060547,136,20,596,Continuous,,,47,63,596,11,trackB3,61,632,327,63,1,8.481924,SatDddSclTotalizer,0.00484508,ok,0.008123416,5,28,25,596
7.614347722,3.5182370820668694,15.949999809265137,2246,25,65031,Continuous,,,48,57,65031,23,trackB4,270,2315,1115,57,1,12747.973157,SatDddSclTotalizer,4.882655309,ok,12.497001176,20,41,0,65031
0.007717103000000001,3.1530054644808745,17.799999237060547,136,25,7474,Continuous,,,49,88,7474,8,trackB5,38,577,294,88,1,17.172202,SatDddSclTotalizer,0.008831402,ok,0.016547808,5,14,61,7474
0.00284902,1.5605095541401275,15.199999809265137,93,25,209,Continuous,,,50,31,209,4,trackB6,6,245,66,31,1,5.887882,SatDddSclTotalizer,0.002704173,ok,0.005552415,5,2,23,209
20.837607514000002,3.5066137566137567,15.25,2865,25,63421,Continuous,,,51,55,63421,14,trackB7,263,2651,1359,55,1,31378.583349,SatDddSclTotalizer,6.745662942,ok,27.583269273,24,39,0,63421
0.005547941,2.2302158273381294,13.399999618530273,72,25,7804,Continuous,,,52,57,7804,7,trackB8,12,310,135,57,1,10.490643,SatDddSclTotalizer,0.004347539,ok,0.009894795,5,7,37,7804
0.032271468,3.33502538071066,13.571428298950195,150,25,10919,Continuous,,,53,42,10919,13,trackB9,65,657,308,42,1,40.202716,SatDddSclTotalizer,0.00614741,ok,0.038418149,7,24,4,10919
0.002727567,1.5775401069518717,12.857142448425293,126,25,7353,Continuous,,,54,42,7353,3,trackB10,8,295,82,42,1,6.054894,SatDddSclTotalizer,0.002995851,ok,0.005722737,7,4,33,7353
17.593014700999998,4.054088050314466,15.399999618530273,3202,25,76391,Continuous,,,55,67,76391,24,trackB11,323,3223,1699,67,1,38272.436602,SatDddSclTotalizer,16.794449175,ok,34.387462389,25,51,0,76391
22.606701224999995,2.9871794871794872,16.214284896850586,970,25,45506,Continuous,,,56,53,45506,23,trackB12,182,1398,568,53,1,49554.942528,SatDddSclTotalizer,19.502068434,ok,42.108768532,14,37,0,45506
,,,,,,cont,124,external_timeout,57,,,,stationA1,,,,,,341219,sat_ddd_scl_totalizer,,external_timeout,341.219,,,,
4.169838163999998,9.008205128205129,19.0,3735,33,,Continuous,,,58,85,10728,53,stationA2,1550,8783,5034,85,1,300087.029998,SatDddSclTotalizer,295.917193121,timeout,300.087029998,25,83,0,17055
0.1772975389999999,3.7745901639344264,22.375,2061,33,6604,Continuous,,,59,87,6604,18,stationA3,182,2763,1603,87,1,1041.962162,SatDddSclTotalizer,0.851029535,ok,1.028326034,16,61,13,6604
