algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.013192939999999998,2.1802091713596137,20.931034088134766,5915,33,5526,Continuous,0,229,5526,10,origA1,1355,2710,1355,32,1,20.799384,MaxSatDddLadderRC2,0.007015511,0.020207705,29,53,142,5526
0.009974235000000001,2.2912820512820513,19.0,3735,33,5804,Continuous,1,216,5804,18,origA2,1132,2234,1132,92,1,40.846953,MaxSatDddLadderRC2,0.03063286,0.040606476,25,53,69,5804
0.003985611,1.7691256830601092,22.375,2061,33,1329,Continuous,2,136,1329,7,origA3,525,1295,525,27,1,5.166361,MaxSatDddLadderRC2,0.001105391,0.005090335,16,15,92,1329
0.0032007760000000002,1.9728260869565217,19.214284896850586,1175,33,2706,Continuous,3,106,2706,8,origA4,499,1089,499,25,1,4.013361,MaxSatDddLadderRC2,0.000765161,0.00396525,14,15,64,2706
0.003258928,1.9683544303797469,19.25,876,33,2634,Continuous,4,104,2634,8,origA5,431,933,431,15,1,3.913566,MaxSatDddLadderRC2,0.000610631,0.003868835,12,11,76,2634
0.001976036,1.738562091503268,18.625,307,33,2043,Continuous,5,93,2043,4,origA6,218,532,218,10,1,2.283879,MaxSatDddLadderRC2,0.000272776,0.002248415,8,2,79,2043
0.002056202,2.780952380952381,12.625,126,33,1918,Continuous,6,90,1918,9,origA7,356,584,356,12,1,2.517162,MaxSatDddLadderRC2,0.000430011,0.002485667,8,7,69,1918
0.11803401000003078,5.866847826086956,19.214284896850586,4877,33,,Continuous,7,1099,22695,45,origA8,4727,6477,4727,952,1,,MaxSatDddLadderRC2,302.636812315,302.754845726,28,140,6,23625
0.010661299,3.05352798053528,20.049999237060547,2616,33,6178,Continuous,8,236,6178,12,origA9,1527,2510,1527,64,1,25.425683,MaxSatDddLadderRC2,0.014618976,0.02527958,20,64,106,6178
0.010658829000000002,3.322834645669291,18.176469802856445,1632,33,4746,Continuous,9,245,4746,15,origA10,1352,2110,1352,45,1,24.920572,MaxSatDddLadderRC2,0.014120529,0.024778761,17,46,154,4746
0.01773071000000001,3.509016393442623,19.83333396911621,6162,33,3331,Continuous,10,266,3331,15,origA11,2741,4281,2741,122,1,152.375729,MaxSatDddLadderRC2,0.134239046,0.151969093,30,100,42,3331
0.05665898099999822,3.810289389067524,21.714284896850586,6393,33,4247,Continuous,11,601,4247,13,origA12,3176,4740,3176,423,1,21569.241335,MaxSatDddLadderRC2,21.509014054,21.565672296,28,95,81,4247
0.002602147,1.2523364485981308,17.33333396911621,2022,25,969,Continuous,12,95,969,4,origB1,153,804,153,6,1,2.928996,MaxSatDddLadderRC2,0.000279889,0.002881443,18,3,84,969
0.001131521,1.522875816993464,14.800000190734863,87,25,347,Continuous,13,55,347,4,origB2,72,233,72,4,1,1.273848,MaxSatDddLadderRC2,0.000106586,0.001237569,5,3,46,347
0.0015093099999999998,2.491329479768786,16.799999237060547,136,20,629,Continuous,14,85,629,6,origB3,243,431,243,10,1,1.816832,MaxSatDddLadderRC2,0.000291474,0.001800296,5,6,69,629
0.0048125929999999996,2.358662613981763,15.949999809265137,2246,25,53607,Continuous,15,134,53607,19,origB4,800,1552,800,21,2,8.361959,MaxSatDddLadderRC2,0.003480955,0.008292987,20,44,66,53607
0.001697443,1.7978142076502732,17.799999237060547,136,25,288,Continuous,16,104,288,4,origB5,138,329,138,4,1,1.930393,MaxSatDddLadderRC2,0.000216317,0.001913188,5,3,97,288
0.0006984900000000001,1.3248407643312101,15.199999809265137,93,25,176,Continuous,17,44,176,3,origB6,47,208,47,3,1,0.759968,MaxSatDddLadderRC2,4.1871e-05,0.000739942,5,1,38,176
0.042933846000000386,3.8981481481481484,15.25,2865,25,65828,Continuous,18,645,65828,40,origB7,2055,2947,2055,506,1,11102.645609,MaxSatDddLadderRC2,8.593957403,8.636890568,24,107,32,65828
0.000796009,1.2949640287769784,13.399999618530273,72,25,676,Continuous,19,46,676,2,origB8,39,180,39,5,1,0.857938,MaxSatDddLadderRC2,4.4696e-05,0.000840292,5,0,39,676
0.002310597,3.0761421319796955,13.571428298950195,150,25,5967,Continuous,20,109,5967,11,origB9,382,606,382,19,1,2.981175,MaxSatDddLadderRC2,0.000652392,0.002962596,7,12,78,5967
