algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.012803603,2.1737731295253417,20.931034088134766,5915,33,5526,Continuous,0,247,5526,10,origA1,1238,2702,1238,36,1,23.243129,MaxSatDddLadderScl,0.009752389,0.0225554,29,49,160,5526
0.009998735000000002,2.361025641025641,19.0,3735,33,5804,Continuous,1,237,5804,17,origA2,1040,2302,1040,122,1,65.625818,MaxSatDddLadderScl,0.055333735,0.065331952,25,49,64,5804
0.003862593,1.7950819672131149,22.375,2061,33,1329,Continuous,2,130,1329,6,origA3,496,1314,496,27,1,4.918346,MaxSatDddLadderScl,0.000996365,0.004858358,16,15,86,1329
0.002848466,2.0199275362318843,19.214284896850586,1175,33,2706,Continuous,3,99,2706,8,origA4,479,1115,479,25,1,3.653084,MaxSatDddLadderScl,0.000698584,0.003546496,14,14,58,2706
0.00218282,1.9620253164556962,19.25,876,33,2634,Continuous,4,86,2634,7,origA5,390,930,390,16,1,2.608658,MaxSatDddLadderScl,0.000393725,0.002575988,12,11,57,2634
0.0016366080000000001,1.7516339869281046,18.625,307,33,2043,Continuous,5,84,2043,5,origA6,206,536,206,10,1,1.902262,MaxSatDddLadderScl,0.000239642,0.001875776,8,3,71,2043
0.002027193,2.914285714285714,12.625,126,33,1918,Continuous,6,87,1918,9,origA7,341,612,341,12,1,2.485624,MaxSatDddLadderScl,0.000437415,0.002464039,8,11,64,1918
0.07835029999999676,6.1875,19.214284896850586,4877,33,,Continuous,7,763,22687,42,origA8,4181,6831,4181,643,1,,MaxSatDddLadderScl,120.765742722,120.844092529,28,117,1,23889
0.009688196999999999,2.9854014598540144,20.049999237060547,2616,33,6178,Continuous,8,254,6178,13,origA9,1329,2454,1329,101,1,30.731565,MaxSatDddLadderScl,0.020864547,0.030551808,20,57,94,6178
0.007937826,3.247244094488189,18.176469802856445,1632,33,4746,Continuous,9,203,4746,13,origA10,1150,2062,1150,39,1,17.456616,MaxSatDddLadderScl,0.009424608,0.017361772,17,48,116,4746
0.018801310000000016,3.8721311475409834,19.83333396911621,6162,33,3331,Continuous,10,305,3331,16,origA11,2766,4724,2766,181,1,472.520915,MaxSatDddLadderScl,0.452931676,0.471732422,30,86,36,3331
0.05026051400000142,4.248392282958199,21.714284896850586,6393,33,4247,Continuous,11,567,4247,17,origA12,3202,5285,3202,391,1,16544.433041,MaxSatDddLadderScl,16.491197416,16.541457417,28,110,66,4247
0.0020937440000000002,1.2554517133956387,17.33333396911621,2022,25,969,Continuous,12,89,969,4,origB1,144,806,144,6,1,2.332251,MaxSatDddLadderScl,0.000202014,0.002295243,18,3,78,969
0.000873854,1.542483660130719,14.800000190734863,87,25,347,Continuous,13,51,347,5,origB2,68,236,68,4,1,0.980334,MaxSatDddLadderScl,8.3219e-05,0.000956562,5,3,42,347
0.001544583,2.508670520231214,16.799999237060547,136,20,629,Continuous,14,87,629,6,origB3,229,434,229,10,1,1.856376,MaxSatDddLadderScl,0.00029574,0.001839902,5,5,72,629
0.0037780780000000003,2.7583586626139818,15.949999809265137,2246,25,53607,Continuous,15,109,53607,24,origB4,870,1815,870,22,1,6.533026,MaxSatDddLadderScl,0.002660558,0.006438087,20,44,41,53607
0.001591121,1.8087431693989071,17.799999237060547,136,25,288,Continuous,16,98,288,4,origB5,132,331,132,4,1,1.800848,MaxSatDddLadderScl,0.000195827,0.001786556,5,3,91,288
0.000674279,1.3375796178343948,15.199999809265137,93,25,176,Continuous,17,42,176,3,origB6,45,210,45,3,1,0.741191,MaxSatDddLadderScl,3.9401e-05,0.000713302,5,1,36,176
0.03850227600000089,4.227513227513228,15.25,2865,25,65828,Continuous,18,547,65828,46,origB7,1821,3196,1821,417,1,9191.571157,MaxSatDddLadderScl,8.465431524,8.503933211,24,103,27,65828
0.001060159,1.2949640287769784,13.399999618530273,72,25,676,Continuous,19,44,676,2,origB8,37,180,37,5,1,1.166881,MaxSatDddLadderScl,5.3439e-05,0.001112757,5,0,37,676
0.002368448,3.1624365482233503,13.571428298950195,150,25,5967,Continuous,20,111,5967,12,origB9,358,623,358,19,1,3.228225,MaxSatDddLadderScl,0.00082598,0.003193918,7,12,78,5967
0.001534638,3.3526315789473684,11.375,130,25,5747,Continuous,21,80,5747,11,origB10,369,637,369,20,1,1.971488,MaxSatDddLadderScl,0.000417256,0.001951484,8,14,46,5747
0.08247622899999385,5.465408805031447,15.399999618530273,3202,25,,Continuous,22,887,75475,56,origB11,2347,4345,2347,718,3,,MaxSatDddLadderScl,119.989809795,120.072284869,25,154,11,75494
0.001571298,1.7799145299145298,16.214284896850586,970,25,918,Continuous,23,55,918,9,origB12,274,833,274,6,1,1.83179,MaxSatDddLadderScl,0.000197462,0.001768283,14,19,28,918
0.023544019000000013,4.790024135156878,20.931034088134766,5915,33,9621,Continuous,24,234,9621,21,trackA1,3609,5954,3609,84,1,142.214659,MaxSatDddLadderScl,0.118364497,0.141907997,29,101,47,9621
0.026586119999999935,5.13948717948718,19.0,3735,33,6859,Continuous,25,377,6859,21,trackA2,3112,5011,3112,199,1,635.514611,MaxSatDddLadderScl,0.608338703,0.634924242,25,97,81,6859
0.011276398,3.837431693989071,22.375,2061,33,2077,Continuous,26,208,2077,15,trackA3,1644,2809,1644,50,1,42.431719,MaxSatDddLadderScl,0.030984984,0.042260694,16,60,96,2077
0.003686832,2.568840579710145,19.214284896850586,1175,33,2069,Continuous,27,107,2069,11,trackA4,684,1418,684,15,1,4.937491,MaxSatDddLadderScl,0.001190847,0.004877116,14,26,64,2069
