algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
0.013520577999999998,4.363157894736842,11.375,130,25,34,InfiniteSteps180,21,50,34,18,origB10,30,829,490,50,1,18.066064,SatDddScl,0.004458355,ok,11.107268,11.107268,17.971458,17.971458,0.017978638,8,17,27,34,1
0.037717658,8.574842767295598,15.399999618530273,3202,25,425,InfiniteSteps180,22,127,425,92,origB11,835,6817,2808,127,1,112.548153,SatDddScl,0.073966191,ok,11.30421,11.30421,111.672316,111.672316,0.111683534,25,109,9,425,1
0.013238513,1.8482905982905984,16.214284896850586,970,25,6,InfiniteSteps180,23,35,6,12,origB12,31,865,237,35,1,15.783603,SatDddScl,0.002461524,ok,11.275511,11.275511,15.691744,15.691744,0.015699714,14,17,15,6,1
0.10244899300000004,11.557522123893806,20.931034088134766,5915,33,60,InfiniteSteps180,24,189,60,49,trackA1,878,14366,8823,188,2,388.048222,SatDddScl,0.284332202,ok,386.770129,31.658588,386.770129,239.090089,0.386780941,29,147,34,60,1
0.08738970599999996,13.732307692307693,19.0,3735,33,48,InfiniteSteps180,25,308,48,68,trackA2,808,13389,8525,307,3,539.432338,SatDddScl,0.450983531,ok,538.363319,21.569824,538.363319,387.729806,0.538372983,25,173,126,48,1
0.035943184,9.092896174863387,22.375,2061,33,18,InfiniteSteps180,26,126,18,30,trackA3,311,6656,4376,126,1,98.36494499999999,SatDddScl,0.061955729,ok,11.310243,11.310243,97.889467,97.889467,0.097898632,16,98,23,18,1
0.023259048,5.791666666666667,19.214284896850586,1175,33,18,InfiniteSteps180,27,128,18,23,trackA4,138,3197,1949,128,1,50.184563000000004,SatDddScl,0.026664482,ok,11.245335,11.245335,49.914176999999995,49.914176999999995,0.049923256,14,62,61,18,1
0.023156803999999996,4.071729957805907,19.25,876,33,19,InfiniteSteps180,28,73,19,23,trackA5,76,1930,1065,73,1,33.195012000000006,SatDddScl,0.009866472,ok,17.031206,17.031206,33.014941,33.014941,0.033023002,12,39,29,19,1
0.013739663,2.673202614379085,18.625,307,33,11,InfiniteSteps180,29,53,11,14,trackA6,21,818,404,53,1,18.236357,SatDddScl,0.004414696,ok,11.179768,11.179768,18.146525,18.146525,0.018154033,8,12,37,11,1
0.015940246,5.738095238095238,12.625,126,33,10,InfiniteSteps180,30,122,10,22,trackA7,42,1205,773,122,1,29.315506000000003,SatDddScl,0.013237078,ok,11.260799,11.260799,29.166929,29.166929,0.029177018,8,26,92,10,1
0.2858519709999996,49.24341507720254,19.88888931274414,4862,33,146,InfiniteSteps180,31,521,146,252,trackA8,5041,54217,29357,520,1,27164.634948,SatDddScl,26.870881871,ok,27156.709408000002,21.479983,27156.709408000002,21519.744148,27.156733528,27,399,114,146,1
0.07579465899999999,14.228710462287104,20.049999237060547,2616,33,43,InfiniteSteps180,32,356,43,62,trackA9,616,11696,7785,355,1,376.329744,SatDddScl,0.299594,ok,375.378984,21.248723000000002,375.378984,276.747405,0.375388353,20,184,165,43,1
0.020740365999999996,4.766929133858268,18.176469802856445,1632,33,33,InfiniteSteps180,33,60,33,25,trackA10,158,3027,1590,60,1,32.277574,SatDddScl,0.011223663,ok,11.193458,11.193458,31.955524999999998,31.955524999999998,0.031963762,17,48,6,33,1
0.2545955599999985,51.09449465899753,20.482759475708008,6144,33,,InfiniteSteps180,34,193,68,430,trackA11,7267,62182,26991,193,1,120094.53551,SatDddScl,119.832011225,timeout,31.395661999999998,31.395661999999998,,,120.086606574,29,191,0,136,1
0.45221482199998775,84.91639871382637,21.714284896850586,6393,33,,InfiniteSteps180,35,340,88,573,trackA12,12459,105636,47132,340,1,120022.84299199999,SatDddScl,119.556790156,timeout,31.394835000000004,31.394835000000004,,,120.009004717,28,338,0,175,1
0.580895715,5.822429906542056,17.33333396911621,2022,25,14,InfiniteSteps180,36,149,14,22,trackB1,165,3738,2242,148,1,630.607745,SatDddScl,0.049385067,ok,630.272009,565.306399,630.272009,608.534712,0.630280554,18,65,79,14,1
0.013954804999999999,4.124183006535947,14.800000190734863,87,25,26,InfiniteSteps180,37,82,26,21,trackB2,34,631,322,82,1,22.985197,SatDddScl,0.008898456,ok,22.718977000000002,11.145745,22.844965,22.844965,0.022852979,5,21,56,26,1
0.013042624,3.8034682080924855,16.799999237060547,136,20,4,InfiniteSteps180,38,46,4,15,trackB3,27,658,344,46,1,17.021162,SatDddScl,0.003886949,ok,11.207405,11.207405,16.921784,16.921784,0.016929226,5,15,28,4,1
0.050299236000000025,11.548632218844984,15.949999809265137,2246,25,341,InfiniteSteps180,39,214,341,84,trackB4,454,7599,4727,214,1,254.49082899999996,SatDddScl,0.202498678,ok,245.44160200000002,11.243777999999999,252.781755,252.781755,0.252797582,20,143,63,341,1
0.017453706000000003,9.830601092896174,17.799999237060547,136,25,11,InfiniteSteps180,40,131,11,37,trackB5,105,1799,1074,131,2,38.350506,SatDddScl,0.020718825,ok,37.752423,11.99351,38.165,38.165,0.038172277,5,52,74,11,1
0.012258213,2.3503184713375798,15.199999809265137,93,25,2,InfiniteSteps180,41,31,2,8,trackB6,10,369,160,31,1,14.389000000000001,SatDddScl,0.002065794,ok,11.272143,11.272143,14.316626000000001,14.316626000000001,0.014323708,5,6,23,2,1
0.046515262,9.325396825396826,15.25,2865,25,318,InfiniteSteps180,42,191,318,50,trackB7,426,7050,4199,190,2,194.032575,SatDddScl,0.146390631,ok,192.89383500000002,11.394915000000001,192.89383500000002,88.127466,0.192905562,24,99,82,318,1
0.014557816,6.863309352517986,13.399999618530273,72,25,12,InfiniteSteps180,43,90,12,24,trackB8,58,954,543,90,1,24.358905,SatDddScl,0.009677487,ok,11.21606,11.21606,24.225933,24.225933,0.024234959,5,37,49,12,1
0.015517441000000002,7.4873096446700504,13.571428298950195,150,25,51,InfiniteSteps180,44,95,51,30,trackB9,94,1475,831,94,1,28.628389000000002,SatDddScl,0.012960465,ok,28.470195,11.117597,28.470195,22.285367,0.028477559,7,40,48,51,1
0.011787644,1.7700534759358288,12.857142448425293,126,25,41,InfiniteSteps180,45,20,41,7,trackB10,11,331,92,20,1,13.185084999999999,SatDddScl,0.001341751,ok,11.080668,11.080668,13.120849,13.120849,0.01312911,7,7,7,41,1
0.044488327999999994,8.337106918238995,15.399999618530273,3202,25,391,InfiniteSteps180,46,139,391,41,trackB11,419,6628,3760,139,1,182.29640999999998,SatDddScl,0.136514938,ok,156.099249,11.139667000000001,180.98825599999998,180.98825599999998,0.181002932,25,86,44,391,1
0.03678266399999999,13.801282051282051,16.214284896850586,970,25,88,InfiniteSteps180,47,225,88,113,trackB12,566,6459,3160,224,3,222.521835,SatDddScl,0.184827723,ok,221.601025,11.202142,221.601025,206.141602,0.221610098,14,137,79,88,1
0.15754471500000022,17.8342719227675,20.931034088134766,5915,33,81,InfiniteSteps180,48,372,81,75,stationA1,1305,22168,14740,371,3,4799.060789,SatDddScl,4.639182204,ok,4796.715592,31.53028,4796.715592,4569.540902,4.796726607,29,229,133,81,1
0.08837427100000006,15.948717948717949,19.0,3735,33,59,InfiniteSteps180,49,191,59,73,stationA2,1065,15550,9705,191,1,893.2275,SatDddScl,0.803612389,ok,776.307361,21.291912999999997,891.972622,891.972622,0.891986258,25,152,33,59,1
0.04854035099999998,11.610655737704919,22.375,2061,33,26,InfiniteSteps180,50,260,26,47,stationA3,402,8499,5807,259,1,262.589181,SatDddScl,0.213414231,ok,261.946161,11.153022,261.946161,118.27931799999999,0.261954308,16,147,107,26,1
0.026137076000000002,7.663043478260869,19.214284896850586,1175,33,22,InfiniteSteps180,51,133,22,34,stationA4,180,4230,2781,133,1,60.529628,SatDddScl,0.034030737,ok,57.807029,11.294057,60.159012,60.159012,0.060167553,14,85,43,22,1
0.019654384000000004,5.59915611814346,19.25,876,33,23,InfiniteSteps180,52,82,23,30,stationA5,113,2654,1603,82,1,34.392106,SatDddScl,0.014517127,ok,11.353603999999999,11.353603999999999,34.162887000000005,34.162887000000005,0.034171239,12,49,28,23,1
0.013706486999999998,3.1470588235294117,18.625,307,33,15,InfiniteSteps180,53,56,15,23,stationA6,42,963,449,56,1,18.723784000000002,SatDddScl,0.004913017,ok,11.079046,11.079046,18.611794,18.611794,0.018619218,8,24,28,15,1
0.015665982000000002,5.523809523809524,12.625,126,33,16,InfiniteSteps180,54,114,16,21,stationA7,40,1160,750,114,1,28.180223,SatDddScl,0.012336074,ok,11.130411,11.130411,27.993803,27.993803,0.028001761,8,24,85,16,1
0.2401579210000051,48.51952770208901,19.88888931274414,4862,33,,InfiniteSteps180,55,253,138,254,stationA8,5247,53420,27444,252,1,120669.48440500001,SatDddScl,120.423541313,timeout,21.396282,21.396282,,,120.663698774,27,249,0,183,1
0.061193514000000004,11.405109489051094,20.049999237060547,2616,33,49,InfiniteSteps180,56,155,49,55,stationA9,508,9375,5998,155,1,331.15072499999997,SatDddScl,0.269041951,ok,308.419997,22.146065,330.21873400000004,330.21873400000004,0.330235171,20,109,40,49,1
0.028366293000000008,7.066141732283465,18.176469802856445,1632,33,41,InfiniteSteps180,57,142,41,41,stationA10,236,4487,2691,141,1,74.501073,SatDddScl,0.045734352,ok,74.091719,11.328865,74.091719,56.445157,0.074100341,17,71,64,41,1
0.1868220619999903,35.37797863599014,20.482759475708008,6144,33,,InfiniteSteps180,58,127,67,298,stationA11,4536,43055,19787,127,1,120342.697699,SatDddScl,120.151243578,timeout,31.593389,31.593389,,,120.338065422,29,125,0,133,1
